id,order_id,product_id,quantity,price_at_purchase
1,1,17,1,32000
2,2,42,2,8000
3,3,95,2,12000
4,4,65,2,15000
5,5,44,1,15000
6,6,97,2,28000
7,7,64,2,12000
8,8,28,1,34000
9,9,55,2,23000
10,10,34,1,24000
11,11,28,1,34000
12,12,48,1,22000
13,13,1,1,24000
14,14,77,1,18000
15,15,36,2,19900
16,16,88,1,15000
17,17,76,1,19000
18,18,87,2,12000
19,19,37,1,25000
20,20,62,1,23000
21,21,58,2,15000
22,22,78,2,14000
23,23,55,1,23000
24,24,16,1,34000
25,25,68,1,25000
26,26,33,2,22000
27,27,42,2,8000
28,28,10,2,33000
29,29,34,1,24000
30,30,47,1,15000
