id,brand_name,category_name,name,price,stock_quantity,thumbnail_url,description
1,구달,스킨케어,청귤 비타C 잡티 케어 세럼 30ml 기획,24000,94,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/8.png,구달의 베스트셀러 잡티 케어 세럼
2,토리든,스킨케어,다이브인 저분자 히알루론산 수분크림 80ml,21000,63,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/10.png,속건조를 잡아주는 촉촉한 수분크림
3,메디힐,스킨케어,티트리 에센셜 마스크 10매,20000,84,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,피부 진정에 탁월한 국민 마스크팩
4,아누아,스킨케어,어성초 77 수딩 토너 250ml,23000,42,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,민감성 피부를 위한 진정 토너
5,라운드랩,스킨케어,독도 토너 500ml 대용량,30000,92,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,자극 없이 각질을 케어하는 수분 토너
6,라운드랩,스킨케어,자작나무 수분 선크림 SPF50+ 50ml 1+1,25000,79,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,촉촉하게 스며드는 수분 선크림
7,에스트라,스킨케어,아토베리어365 크림 80ml 기획,31000,71,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,피부 장벽을 강화하는 보습 크림
8,아이소이,스킨케어,블레미쉬 케어 업 세럼 (잡티세럼) 35ml,29500,124,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/9.png,"올리브영 1위 에센스, 불가리안 로즈 세럼"
9,닥터지,스킨케어,레드 블레미쉬 클리어 수딩 크림 70ml,28000,22,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,여드름성 피부도 안심하고 쓰는 진정 크림
10,피지오겔,스킨케어,데일리 모이스처 테라피 페이셜 크림 150ml,33000,75,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,72시간 지속되는 보습력의 정석
11,바이오더마,스킨케어,센시비오 H2O 클렌징 워터 500ml,27000,111,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,자극 없이 완벽하게 지워지는 클렌징 워터
12,마녀공장,스킨케어,퓨어 클렌징 오일 200ml,19900,150,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,블랙헤드까지 케어하는 자연유래 클렌징 오일
13,스킨푸드,스킨케어,캐롯 카로틴 카밍 워터 패드 (당근패드),26000,130,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,무너진 피부 장벽을 진정시키는 당근패드
14,성분에디터,스킨케어,그린토마토 모공앰플 플러스 30ml,22000,20,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,세로모공을 쫀쫀하게 잡아주는 모공 앰플
15,코스알엑스,스킨케어,원스텝 오리지널 클리어 패드,17500,125,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/1.png,각질과 피지를 부드럽게 정돈하는 패드
16,클리오,메이크업,킬커버 메쉬 글로우 쿠션 (본품+리필),34000,116,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,맑고 영롱한 광채를 선사하는 쿠션 밀착 밀착
17,클리오,메이크업,프로 아이 팔레트 에어 01 코랄스튜디오,32000,27,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/6.png,매일 쓰기 좋은 데일리 음영 팔레트
18,롬앤,메이크업,쥬시 래스팅 틴트 06 피그피그,13000,60,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/2.png,탕후루 광택의 원조 쥬시 래스팅 틴트
19,롬앤,메이크업,블러 fudge 틴트 02 로지엔탈,13000,47,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/14.png,보송하게 밀착되는 무드 가득 블러 틴트
20,페리페라,메이크업,잉크 더 벨벳 01 품절대란,10000,62,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/13.png,선명한 발색과 지속력을 자랑하는 틴트
21,페리페라,메이크업,"올테이크 무드 팔레트 11 당근, 근데 이제 햇살을 담은",21000,144,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/3.png,가성비 최고 구성의 아이 팔레트
22,투쿨포스쿨,메이크업,아트클래스 바이로댕 쉐딩 클래식,16000,123,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/5.png,"국민 쉐딩, 자연스러운 윤곽 메이크업"
23,바닐라코,메이크업,클린 잇 제로 클렌징 밤 오리지널 100ml,18000,21,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/16.png,샤베트 제형의 완벽 밀착 클렌징 밤
24,헤라,메이크업,블랙 쿠션 SPF34 (본품+리필),68000,92,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/11.png,"럭셔리 매트 쿠션의 정석, 뛰어난 커버력"
25,정샘물,메이크업,에센셜 스킨 누더 쿠션 (본품+리필),42000,103,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/7.png,아티스트의 손길이 닿은 듯 투명한 피부 표현
26,웨이크메이크,메이크업,워터 벨벳 커버 쿠션,28000,68,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/12.png,올리브영 자체 브랜드(PB) 강력 추천 쿠션
27,웨이크메이크,메이크업,소프트 블러링 아이팔레트 02 생기블러링,34000,34,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/4.png,16가지 다채로운 컬러 레이어링
28,데이지크,메이크업,섀도우 팔레트 03 누드포션,34000,58,https://olive-product.s3.ap-northeast-2.amazonaws.com/products/15.png,감성 가득 9구 무드 아이섀도우 팔레트
